1;12;1
1;36;3
1;1000;10,100,500
5;880;1,3,9,27,243,729
3;997;10,11,12,13,14,16,82,83,84,85,720,730,740,750,760,770
6;160;2,1,10,9,1,3,4,5,2
46;147;10,9,9,8,5,2,3,1,5
31;105;10,6,4,10,1,1,8,7,3
42;113;9,8,10,5,3,4,10,4,10
33;179;2,8,7,9,1,10,6,5,4
33;144;3,5,5,4,7,9,2,5,2
36;170;1,6,5,9,5,7,8,1,9
15;127;1,9,7,2,10,4,3,9,10
44;107;10,4,4,7,2,1,8,1,8
62;134;6,4,8,3,7,7,3,3,4
79;170;6,1,6,3,6,4,5,10,5
35;180;1,10,9,7,1,2,4,5,2
51;191;2,3,10,1,4,7,10,6,10
34;108;4,7,10,2,1,4,9,1,3
51;192;4,3,9,3,5,6,1,1,1
54;119;9,5,2,4,9,7,6,6,1
61;113;2,1,10,4,1,7,2,4,1
14;158;10,4,6,2,10,6,10,3,7
40;153;5,4,6,2,4,3,4,8,2
1;174;10,9,4,8,5,2,7,1,1
82;134;1,8,5,5,6,5,7,7,4
87;197;10,6,4,7,9,1,8,7,5
8;174;9,1,2,4,9,1,7,3,8
68;105;5,9,7,5,7,6,3,4,3
42;149;6,6,2,7,8,1,9,3,2
91;121;3,4,5,8,9,7,3,10,3
90;148;1,6,5,10,8,10,10,10,4
20;171;4,7,8,3,9,6,2,3,4
60;164;5,4,9,2,4,1,6,2,7
49;168;9,2,8,6,9,7,2,5,6
71;178;4,1,1,8,7,10,1,10,1
82;180;2,3,3,1,9,3,6,6,1
36;112;10,5,8,1,5,4,5,6,6
19;134;6,7,10,5,9,9,5,4,9
15;170;6,8,3,8,3,2,10,2,5
50;122;4,9,5,8,6,5,7,8,7
89;164;9,3,4,2,5,6,7,4,7
35;145;6,10,7,1,7,3,1,1,10
53;100;9,9,4,7,4,10,6,7,7
33;190;9,10,2,7,1,4,7,10,2
68;163;8,6,9,2,6,1,1,9,5
86;200;5,3,10,4,1,3,4,9,10
87;172;4,9,3,7,10,9,5,1,2
59;177;2,2,9,5,9,7,8,10,2
6;106;8,5,7,3,5,1,5,4,10
17;192;4,6,9,9,2,10,9,2,9
39;114;3,9,7,10,7,3,3,5,7
52;114;4,10,9,3,10,7,4,7,1
63;196;3,10,5,2,2,8,2,10,6
18;162;10,3,8,3,5,2,8,10,9
42;178;6,4,10,8,7,8,2,5,2
62;151;9,2,5,2,3,10,10,2,8
71;113;1,6,8,2,3,9,2,10,8
99;169;4,5,4,5,7,1,3,8,6
68;127;2,10,1,10,10,7,10,5,3
46;137;10,9,1,7,10,1,4,8,6
56;132;3,8,2,9,10,5,5,7,6
36;120;7,3,6,2,2,6,9,7,1
82;165;2,10,5,3,7,2,9,10,2
89;185;6,9,8,5,3,7,5,3,10
